Authors,Title,Year,Source title,Document Type,DOI,Author Keywords,Abstract,Cited by,References,Affiliations,Source,EID
"Ana Silva; Bruno Costa","Integrated bibliometric workflows for evidence synthesis",2021,"Journal of Research Methods",Article,10.5555/wasabi.001,"bibliometrics; evidence synthesis; TEMAC","A local workflow for consolidating research evidence.",18,"Porter 1985; Small 1973; Zupic 2015","Universidade Estadual de Goiás, Anápolis, Brazil",Scopus,2-s2.0-0001
"Ana Silva; Carla Mendes","Scientific mapping in systematic reviews",2022,"Journal of Research Methods",Article,10.5555/wasabi.002,"scientific mapping; systematic review; networks","The study combines review protocols and science mapping.",24,"Small 1973; Zupic 2015; Page 2021","Universidade Estadual de Goiás, Anápolis, Brazil; University of Porto, Porto, Portugal",Scopus,2-s2.0-0002
"Bruno Costa; Diego Lima","Co-authorship networks in emerging fields",2022,"Scientometrics Practice",Article,10.5555/wasabi.003,"co-authorship; networks; collaboration","Co-authorship structures are examined across emerging topics.",11,"Newman 2001; Zupic 2015","Universidade de Brasília, Brasília, Brazil",Scopus,2-s2.0-0003
"Carla Mendes; Emma Jones","Keyword co-occurrence for literature consolidation",2023,"Open Science Analytics",Review,10.5555/wasabi.004,"keywords; co-occurrence; literature review","A review of keyword co-occurrence techniques.",15,"Callon 1983; Small 1973; Page 2021","University of Porto, Porto, Portugal; University of Leeds, Leeds, United Kingdom",Scopus,2-s2.0-0004
"Ana Silva; Diego Lima","Bibliographic coupling and research fronts",2023,"Scientometrics Practice",Article,10.5555/wasabi.005,"bibliographic coupling; research fronts; clusters","Bibliographic coupling reveals contemporary research fronts.",9,"Kessler 1963; Zupic 2015; Newman 2001","Universidade Estadual de Goiás, Anápolis, Brazil; Universidade de Brasília, Brasília, Brazil",Scopus,2-s2.0-0005
"Emma Jones; Farah Khan","Co-citation patterns in educational technology",2024,"Open Science Analytics",Article,10.5555/wasabi.006,"co-citation; education; technology","Co-citation analysis identifies intellectual traditions.",7,"Small 1973; Callon 1983; Page 2021","University of Leeds, Leeds, United Kingdom; University of Delhi, Delhi, India",Scopus,2-s2.0-0006
"Bruno Costa; Farah Khan","Community detection in bibliometric graphs",2024,"Network Science Reports",Conference Paper,10.5555/wasabi.007,"Louvain; community detection; graphs","Community algorithms are compared on bibliometric graphs.",6,"Blondel 2008; Newman 2001; Zupic 2015","Universidade de Brasília, Brasília, Brazil; University of Delhi, Delhi, India",Scopus,2-s2.0-0007
"Carla Mendes; Gabriel Rocha","Local-first tools for open research",2025,"Open Research Systems",Article,10.5555/wasabi.008,"local-first; open science; privacy","Local-first architectures improve privacy in research tools.",5,"Kleppmann 2019; Page 2021","University of Porto, Porto, Portugal; Universidade Federal de Goiás, Goiânia, Brazil",Scopus,2-s2.0-0008
"Diego Lima; Gabriel Rocha","Evidence clusters and thematic interpretation",2025,"Network Science Reports",Article,10.5555/wasabi.009,"clusters; evidence; interpretation","Cluster evidence tables support thematic interpretation.",3,"Blondel 2008; Kessler 1963; Zupic 2015","Universidade de Brasília, Brasília, Brazil; Universidade Federal de Goiás, Goiânia, Brazil",Scopus,2-s2.0-0009
"Ana Silva; Emma Jones; Gabriel Rocha","A consolidated meta-analytical approach to science mapping",2026,"Open Research Systems",Review,10.5555/wasabi.010,"TEMAC; science mapping; synthesis","An integrative approach connects protocol, mapping and synthesis.",2,"Porter 1985; Small 1973; Page 2021; Zupic 2015","Universidade Estadual de Goiás, Anápolis, Brazil; University of Leeds, Leeds, United Kingdom; Universidade Federal de Goiás, Goiânia, Brazil",Scopus,2-s2.0-0010
